YAC sent_gaze_sacc -1.795920953854757 1.162689525050256 -1.7956422573231248 0.9895055481240934 -0.9058513048823863 2.895902466487762 0.8541461494795749 -2.5076437526946886 0.7263960944375298
YAG sent_gaze_sacc -1.5282462422747587 2.849666842537334 -2.460569702904164 0.552988221036394 -0.8113051733532666 2.383265521667953 1.9932581929831736 -2.3202472630668947 0.6714961721693976
YAK sent_gaze_sacc -1.9333808580625345 0.2622819205761959 -0.8741777995856217 1.2157145948253731 -0.636971946983889 2.842713069387389 0.8325157375793037 -1.7367485615720568 0.8803121825329652
YDG sent_gaze_sacc -1.7484871375676425 0.859443655350368 -1.5214128274933318 0.8374996762425758 -0.7286352133308892 2.237540987308654 0.9115552327724208 -2.4496547870267404 0.6849881729497787
YDR sent_gaze_sacc -1.7295566580671442 0.6330068543383822 -1.4056369513309142 0.7395584793454145 -0.8588726103423627 3.080191223439314 0.8719642851714923 -3.494426972196207 0.9565474923853327
YFR sent_gaze_sacc -1.8903601577482112 0.7493816140031038 -2.0628052280671945 0.9178012681903829 -0.953763792529993 3.214240536155502 1.0465286973042214 -2.685515906047804 0.6853864065466325
YFS sent_gaze_sacc -1.7796165644089086 0.9389686798663263 -1.4019146651097834 0.7729894786457362 -0.7597741351692079 2.5185211458500816 0.766590244332599 -2.576437575551925 0.6090958993982918
YHS sent_gaze_sacc -1.6947657440523387 1.2966814829128168 -1.990068042798747 0.8203418929870577 -0.8841854851683638 3.135528737500089 0.9125873404417303 -3.4622856232029697 1.0700840407374272
YIS sent_gaze_sacc -1.7509920218643993 1.684736205966284 -2.7659387774820448 0.9213973552012499 -0.712201973819158 2.4922131084273826 0.8324015432559372 -2.4044811937947883 0.6022169441219006
YLS sent_gaze_sacc -1.7198652523023652 0.9033828353874719 -1.0565169862175094 0.8928766559796941 -0.6642424899417023 2.1680146546119783 0.8137203229269039 -2.3319976728611507 0.5889371676777307
YMD sent_gaze_sacc -1.8847653811228329 1.0797891603690857 -2.016499827199442 0.9910394553110791 -0.6522623405523718 1.9676080565361656 0.8316668435786414 -2.198829534458095 0.6108162036399517
YRK sent_gaze_sacc -1.8768816613356927 0.670599150575556 -1.2187498662825034 1.6181264434078264 -0.626799938777961 0.3692600436515886 0.09805689427272228 -2.2192029941330436 0.6436820712580255
YRP sent_gaze_sacc -1.812909462474927 0.5075296952870303 -0.9170454034311467 1.1472608779414395 -0.585343912912449 2.2660399625059244 0.7978145243206086 -2.448552976447563 0.5138976732143561
YSD sent_gaze_sacc -1.6706517163653394 1.4612476633701248 -2.0018036311223057 0.7316145520924761 -0.8147643015150561 2.6713431878622704 0.8838660426765705 -2.3942959151578442 0.5274356727220095
YSL sent_gaze_sacc -1.9723585044260181 0.6737364484910415 -1.8351878548864158 0.9236700684510197 -0.8052701854695837 2.0343672566700377 0.9868135559698067 -2.644717183585563 0.9161771762241875
YTL sent_gaze_sacc -1.7134480624198205 1.5547509434231233 -2.326202681227601 0.7464880366289435 -0.7728450373458798 2.5788986360849857 0.9454657449506817 -2.4418229817312906 0.4931810689125967
