YAC max_sacc_amp 1.1256572679529953e-07
YAC mean_sacc_amp -0.07069368446679637
YAC sent_saccade 0.5239358277997492 0.8062846598135449 -0.7314112181699225 0.02166594833281648 -1.7231910199419098 0.18142749274443953
YAC sent_gaze_sacc -0.9416346775648432 0.6157625226928002 -0.6067330109178668 1.041414384813588 0.5846955392668328 -0.5433677250015763 -0.1830974998868068 -1.3724506627373514 -0.06577728843554657
YAC sent_gaze_eeg_means -0.5774365836786678 0.825422116884403 0.4735845992623304 1.4110890496707968 0.6846356542829645 -1.0676874709409572 0.24500479201870046 0.2901451173241124 0.1773698555345414 1.514088671458536 1.1171377371518354
YAG max_sacc_amp -0.3104937136764477
YAG mean_sacc_amp -2.837550004596017
YAG sent_saccade -0.5866476722789181 -0.6092214738820163 -0.8707608624861274 -0.1877815105602908 -2.908012864658989 1.5094651125989609
YAG sent_gaze_sacc -1.4661284876659886 -0.920931719427781 -0.7975200563613908 -0.7411386105526767 -0.8565458851423897 -0.47431437647058333 -0.0056239256285835525 -2.3364081371870626 1.1493425521524885
YAG sent_gaze_eeg_means -1.2253963695938574 -1.291675471115534 -0.2568922975372623 -0.20590144346556338 -0.4144588128459148 -1.3985611861549705 -0.24051931343774866 0.574536254817977 -0.14597026763103077 0.7210575094454768 1.5406990700955439
YAK max_sacc_amp -1.2952739702664555
YAK mean_sacc_amp -2.890844755378245
YAK sent_saccade 0.4078125454426776 -0.46312266180949346 0.0811285514812953 -1.5480449034150903 1.3969435866299307 -1.0121333722262518
YAK sent_gaze_sacc -0.24038101511013238 -0.4576388489284328 -2.0526252509723952 1.8239263106557866 -0.8498663072908168 0.2000027446857492 -1.1703234118584311 1.1526273514257246 -0.7744194749577737
YAK sent_gaze_eeg_means 0.4007266384751435 -0.8233770878803969 -1.184506942121615 1.226570509427962 -0.45386728671576043 0.3065139446930217 -1.8639324345576418 -1.077182021383556 2.3746525814104835 1.2998921385594548 -0.13397812034231785
YDG max_sacc_amp 0.11511992215114226
YDG mean_sacc_amp -3.41243265138637
YDG sent_saccade 1.1292033039085023 -0.028749480669105258 0.6037254869034218 -0.4171835076629487 -4.5219274820339015 2.0255116918608764
YDG sent_gaze_sacc -1.6928524549793265 1.8592786086912367 -0.5273368133236604 1.4612773668693608 -0.8078071699014476 0.3870395808352655 -1.197155392087327 -2.543005063369595 1.312655735951384
YDG sent_gaze_eeg_means -1.5516396828448629 2.2745981024205486 0.1604480152510071 1.6740429250823967 0.26412415039233383 -0.8436628683080643 -0.896146119008741 0.298181800635466 -0.04316646726957006 2.6116320321327544 -2.0922903536103177
YDR max_sacc_amp 2.485753275259359
YDR mean_sacc_amp 0.0891043182686008
YDR sent_saccade -0.3019451408168558 0.9562865538423417 -0.48869953149567885 0.5632487565981783 -2.0547324443061576 2.4514554250242324
YDR sent_gaze_sacc -1.9050916191379275 -0.15180951120216474 0.8213505771810883 0.19968689142407592 -0.2963290558132292 -0.08787687663004248 -0.15243926811730385 -0.5818979030406782 1.1166408119840225
YDR sent_gaze_eeg_means -2.3111439736041377 0.3606128247926588 0.07205181884918964 0.543266875557316 0.10503880753137194 -0.6892316281324805 0.06611077664816849 -0.6886030087892628 1.4969882992838128 1.6237020595300293 -0.33932203162072105
YFR max_sacc_amp 1.6883223508267442
YFR mean_sacc_amp 1.4875408890802089
YFR sent_saccade -0.6563103385535756 0.11343182814595938 -0.035030221810036524 0.5749969078271084 -2.0100944529163685 2.561136020519466
YFR sent_gaze_sacc -1.4174576624711177 0.33175232170047486 0.28330794470185644 -0.25838264722758547 -0.11876541027743215 0.10155746175758279 0.5396101936498605 -1.0633399086215716 1.3260356193847398
YFR sent_gaze_eeg_means -1.4969871535658463 0.8209740000521415 0.6028017818017156 -0.14627380777416776 0.08180398693384344 -0.37386606637449915 0.9675911292641096 -1.2498993435678218 1.342735241300797 0.31076925003654343 0.6480942244224677
YFS max_sacc_amp 1.5821479345155003
