YAC sent_gaze_sacc -2.2144916017940375 1.3649564252230562 -1.4169174019929187 0.667044374481975 -0.759521987590432 1.7149599984941801 1.2710048210094556
YAG sent_gaze_sacc -1.9077109322382455 3.023472146826066 -1.9652397892035651 0.3307393856342742 -0.7492703032067709 1.7468645975417871 2.3829431853648657
YAK sent_gaze_sacc -2.401677979846511 0.34804605946294487 -0.481900807342015 0.9288160613380114 -0.525804208023942 2.121703488489345 1.1312255191762688
YDG sent_gaze_sacc -2.153771446255263 1.0705018894003047 -1.1984256631336052 0.5051737524694317 -0.6381325964105713 1.3651145376485943 1.2676286843417301
YDR sent_gaze_sacc -2.2763819637891913 1.014044066911822 -1.0517854784202427 0.46732585887764344 -0.6893665865009382 1.639930233667485 1.3472872972487266
YFR sent_gaze_sacc -2.3287587038550157 0.9147604115225931 -1.6039224836399057 0.7345265954834304 -0.8075088434263478 2.148108618491733 1.2810027708000007
YFS sent_gaze_sacc -2.2069645083754494 1.1666763730095795 -1.0236637758771394 0.736096365255662 -0.654811797179832 1.5309950953952693 1.023512364877547
YHS sent_gaze_sacc -2.2186033583420794 1.4986361446941032 -1.3859316169143767 0.5608734631776997 -0.7176136110000471 1.690572537340472 1.338883427950691
YIS sent_gaze_sacc -2.188601707093028 1.6128986270354062 -2.1788389346936583 0.8081137435718801 -0.5987906605658111 1.6611375512511017 1.1758471718011378
YLS sent_gaze_sacc -2.1244638419799458 0.9836711321088387 -0.6348897918932721 0.7143785978369124 -0.5773211039239072 1.33524054417785 1.0945900913568494
YMD sent_gaze_sacc -2.2710067026382887 1.2923323787862273 -1.764147055048511 0.8945373434060002 -0.5586479382724008 1.0787858861541508 1.2057164339250903
YRK sent_gaze_sacc -2.256843416775439 0.789234594045638 -0.975066964762334 1.1934930837906563 -0.43450561906604435 -0.7277730898576351 0.6229146095831197
YRP sent_gaze_sacc -2.254858132152293 0.692073797633384 -0.6028142556182843 0.8730419661505948 -0.5158302570680178 1.1952433215275846 1.2158415502988191
YSD sent_gaze_sacc -2.0343225742021502 1.620906592027211 -1.5518015842985733 0.6690019376703731 -0.6893051874413345 1.634725158664594 1.231768869365169
YSL sent_gaze_sacc -2.440960553948429 0.877269561359526 -1.54563726894321 1.1837038800152868 -0.6204214876469791 0.6711421002945599 1.3012307863468209
YTL sent_gaze_sacc -2.1077693195348104 1.7373017712333194 -2.051872668439728 0.6989846060217815 -0.6509677588879299 1.5214913285392981 1.1714296802388162
