ZDN max_sacc_amp 2.929973014260133
ZDN mean_sacc_amp 4.385745387014417e-07
ZDN sent_saccade -3.8089775314468266 1.552529880324924 2.4191630560875756 0.5594367664699731 -2.2339801214255455 2.7075900544722966
ZDN sent_gaze_sacc 0.0849191751848312 0.40782493157343036 2.025585448904757 -3.5321037712730656 1.3049308609169177 2.410396287707044 0.4958408374149097 -0.9884121581264539 2.3894589037688103
ZDN sent_gaze_eeg_means -0.16241897085436413 1.2066942596316033 0.8303148341910404 -3.554685942742759 3.2058243342817376 1.951837449815322 0.16648126277819134 -1.418573114480399 -0.28315043043193594 1.1974959264407408 0.7953876067325819
ZPH max_sacc_amp 0.05105896850417421
ZPH mean_sacc_amp -4.825296180472387
ZPH sent_saccade -2.038073948428965 -1.3971844041587753 -2.12328531008724 0.7623707994327513 -2.9816070696215546 4.59788504167599
ZPH sent_gaze_sacc -2.8936552875088313 -1.018459119468108 0.9382448931164911 -1.8558295395392008 -0.9909201232010207 -2.837592795317682 0.1246261538777133 -0.7442825858764411 1.980515472731048
ZPH sent_gaze_eeg_means -3.4037239940111528 -0.5063692254021609 1.041118999822804 -1.942212122000769 -0.10310337982201773 -2.899912635761916 0.05729662229544802 -0.014080158132344511 0.4771907675930071 1.5047245136099088 1.971664091163961
ZJN max_sacc_amp 4.943132696322295e-07
ZJN mean_sacc_amp -5.154730866618448
ZJN sent_saccade -4.285339424855158 1.593341340752409 -4.289742286870332 2.5705628502344577 -2.4915759803723847 0.8008842198844485
ZJN sent_gaze_sacc -0.6632289260370539 3.1120247104903127 -1.4350588794663162 -4.270875405724687 1.1331553247383581 -3.379857769649091 1.6909522396877994 -1.2733886517529616 0.466446206670078
ZJN sent_gaze_eeg_means -0.4538655913472104 3.180259523429762 -1.1484504340403756 -4.468747073516055 1.4475441216827991 -3.5288224810231372 1.4158290426876312 0.7145491798563173 -1.5806489851966248 0.968943999119872 0.4829043264179794
ZAB max_sacc_amp -1.9012156411424286e-08
ZAB mean_sacc_amp -3.1653152445822212
ZAB sent_saccade -1.0822403675410168 0.9688646784809611 -3.475805126594048 1.7764237317614562 -3.8196153175197316 2.148624709156563
ZAB sent_gaze_sacc -2.278205000203052 -1.6868968576179346 0.5352100697375157 -0.7563844707151839 0.9477851912235273 -3.3983611528978908 1.3488444072744599 -3.13400735658853 1.6682434132753508
ZAB sent_gaze_eeg_means -3.0460866145836833 -1.6074322420886735 0.4021089111040517 -1.4267953467705692 1.6671710928412722 -5.6670250830808175 2.018953815835383 2.028791401372606 0.04660501276517848 -0.289455463431006 -0.025516217239939288
ZJM max_sacc_amp 1.3153036859048229e-06
ZJM mean_sacc_amp -6.005414267781186
ZJM sent_saccade 1.2265064799890848 -0.9674753008471109 -3.4099976978994335 1.8998070116124137 -3.7119941514354 0.5708970436561546
ZJM sent_gaze_sacc -0.991000475612951 1.2490017619750984 1.4498197103785835 1.464967029549928 -1.3948820698499944 -2.9434510725894127 1.3091360708925825 -2.4973631386178923 0.32995948392536795
ZJM sent_gaze_eeg_means -0.8570795880827482 1.4802444732445412 1.0146159046883196 1.0355295212796016 -1.4966602682243408 -3.7501289307207104 1.7669320021247552 -2.0861193205106487 -0.5817539172419113 1.3486075374956186 -0.6401366019235111
ZKB max_sacc_amp 2.3066351769025353
ZKB mean_sacc_amp -0.7665814014948299
ZKB sent_saccade -1.9043652223098309 1.6001011611677236 -0.7774338997678343 1.2768960822711062 -4.3667353087001475 2.481391521994293
ZKB sent_gaze_sacc 0.5907841125647347 1.782262007957655 2.9249489666820803 -1.0436875812192592 0.3946541796604325 -1.5097201251369874 0.8315529985819629 -1.3325941828427796 0.9938416229153298
ZKB sent_gaze_eeg_means -0.015553716494005594 1.3457536736103688 1.5021237812073178 -0.8687135283549593 0.9199903118076983 -1.5431509513501327 0.7328534270765248 1.4069415486147354 -1.3745306686524783 1.206752368112893 -5.594481333561001
ZKH max_sacc_amp -2.746461107627773e-07
ZKH mean_sacc_amp 1.7272838676252178e-07
ZKH sent_saccade -3.390585334613758 0.35941673105306526 -5.0520304982107875 0.1083790357071657 -0.7711846440924158 1.4743944006804863
ZKH sent_gaze_sacc 0.6116517847287892 -2.838762111544803 3.6654259496269828 -3.232011441630464 0.3748110238958209 -4.845138674817732 0.06464205717038674 -0.41853977195754266 1.3292070822067226
ZKH sent_gaze_eeg_means 0.538658585460589 -1.177399285309978 1.6076850588556943 -2.251890204279526 -0.028146938620636313 -2.5766526386625026 -0.14548317901672617 -0.8371596062223017 3.220049919161732 -4.377704279278349 -2.2886482001794763
ZMG max_sacc_amp -1.2409869837970432e-07
ZMG mean_sacc_amp -4.974981870877139
ZMG sent_saccade -0.19940128647480587 -1.0737237074856638 1.1541240341773256 -0.0031643732045770934 -7.006267117889078 3.3511743704180357
ZMG sent_gaze_sacc -1.8830212918683664 -0.5603410542516192 -0.1916871376844381 -0.11744381613273255 -1.1058384254894837 0.5471791357071591 -0.25554668264766767 -6.132237065614314 2.6954421722645505
